Date,i,UTI,d,tests
2020-03-05,2,0,0,
2020-03-06,6,0,0,
2020-03-07,0,0,0,
2020-03-08,4,0,1,
2020-03-09,5,0,0,
2020-03-10,2,0,0,
2020-03-11,2,0,0,
2020-03-12,10,0,0,
2020-03-13,3,0,1,
2020-03-14,11,0,0,
2020-03-15,11,0,0,
2020-03-16,9,0,0,
2020-03-17,14,0,0,
2020-03-18,18,0,0,
2020-03-19,31,0,1,
2020-03-20,30,0,0,
2020-03-21,67,0,1,
2020-03-22,41,0,0,
2020-03-23,36,0,0,
2020-03-24,86,0,2,
2020-03-25,117,22,2,
2020-03-26,87,25,4,
2020-03-27,101,33,5,
2020-03-28,55,44,2,
2020-03-29,75,53,2,
2020-03-30,145,55,3,
2020-03-31,88,55,3,
2020-04-01,79,72,5,
2020-04-02,132,82,4,
2020-04-03,88,86,6,
2020-04-04,98,87,1,
2020-04-05,103,94,3,
2020-04-06,74,96,7,
2020-04-07,87,98,7,
2020-04-08,80,98,5,
2020-04-09,99,,14,
2020-04-10,81,115,3,
2020-04-11,167,83,7,
2020-04-12,66,113,6,
2020-04-13,69,116,3,
2020-04-14,166,117,7,
2020-04-15,120,121,7,
2020-04-16,89,126,10,
2020-04-17,88,127,7,
2020-04-18,81,123,3,
2020-04-19,102,126,2,
2020-04-20,90,129,8,
2020-04-21,113,131,9,
2020-04-22,144,136,8,
2020-04-23,147,141,6,
2020-04-24,172,144,11,
2020-04-25,173,139,9,
2020-04-26,112,151,7,
2020-04-27,111,155,5,
2020-04-28,124,154,10,
2020-04-29,158,157,8,
2020-04-30,143,159,3,
2020-05-01,105,164,7,2336
2020-05-02,149,161,12,1947
2020-05-03,103,146,9,2107
2020-05-04,104,148,16,1798
2020-05-05,134,143,2,2597
2020-05-06,188,151,9,2883
2020-05-07,163,155,9,2703
2020-05-08,240,157,11,2828
2020-05-09,165,160,7,2289
2020-05-10,258,164,5,2140
2020-05-11,244,170,12,2389
2020-05-12,285,147,2,2927
2020-05-13,316,147,10,3199
2020-05-14,255,149,24,3220
2020-05-15,345,151,3,3469
2020-05-16,327,154,7,3469
2020-05-17,263,159,11,2609
2020-05-18,303,156,8,2805
2020-05-19,438,161,12,3736
2020-05-20,474,171,9,4319
2020-05-21,648,172,13,4989
2020-05-22,718,173,23,4615
2020-05-23,704,181,9,3525
2020-05-24,723,181,4,4050
2020-05-25,552,203,15,3194
2020-05-26,600,250,17,3556
2020-05-27,706,254,16,4863
2020-05-28,769,259,8,5405
2020-05-29,717,244,12,4921
2020-05-30,795,256,10,4663
2020-05-31,637,272,9,4014
2020-06-01,564,271,17,3715
2020-06-02,904,288,14,5148
2020-06-03,949,293,13,5501
2020-06-04,929,248,32,5514
2020-06-05,840,249,27,5416
2020-06-06,983,247,6,4635
2020-06-07,774,253,16,4607
2020-06-08,826,265,29,4531
2020-06-09,1141,263,24,5468
2020-06-10,1226,325,24,6288
2020-06-11,1386,295,24,6498
2020-06-12,1391,280,20,7019
2020-06-13,1531,293,30,6046
2020-06-14,1282,,18,5571
2020-06-15,1208,324,29,5118
2020-06-16,1374,345,24,5556
2020-06-17,1393,353,43,6477
2020-06-18,1958,364,25,7512
2020-06-19,2060,364,25,6977.5
2020-06-20,1634,381,13,6443
2020-06-21,1581,397,19,5719
2020-06-22,2146,414,32,7120
